Beds_Cleaned,Baths_Cleaned,Area_SqFt
3.0,3.0,1306.8
4.0,5.0,1361.25
5.0,6.0,5445.0
6.0,6.0,2722.5
6.0,6.0,7078.5
4.0,5.0,1361.25
5.0,6.0,5445.0
5.0,6.0,2722.5
6.0,6.0,5445.0
4.0,5.0,2722.5
6.0,6.0,5445.0
3.0,4.0,952.875
5.0,6.0,5445.0
6.0,6.0,2994.75
7.0,6.0,10890.0
4.0,5.0,2722.5
4.876712328767123,5.410958904109589,2885.85
3.0,6.0,1089.0
4.0,5.0,1361.25
4.0,4.0,2722.5
6.0,6.0,5445.0
5.0,6.0,5445.0
5.0,6.0,1633.5
5.0,6.0,5445.0
5.0,6.0,5445.0
5.0,5.0,8712.0
5.0,6.0,5445.0
5.0,6.0,5445.0
6.0,6.0,2722.5
6.0,6.0,2722.5
6.0,6.0,2722.5
5.0,5.0,2722.5
4.0,5.0,1361.25
4.0,4.0,21780.0
5.0,6.0,1905.75
5.0,5.0,16335.0
4.0,5.0,1361.25
7.0,6.0,10890.0
4.0,5.0,1905.75
7.0,6.0,10890.0
3.0,4.0,1361.25
5.0,6.0,5445.0
4.0,4.0,1361.25
4.0,5.0,1361.25
4.0,4.0,1633.5
5.0,6.0,5989.500000000001
6.0,6.0,7078.5
5.0,6.0,5445.0
5.0,4.0,2967.525
4.0,5.0,1361.25
3.0,4.0,1361.25
5.0,6.0,6534.0
4.0,4.0,1361.25
5.0,5.0,5445.0
5.0,6.0,2722.5
6.0,6.0,2722.5
4.0,5.0,1361.25
5.0,5.0,5445.0
5.0,6.0,5445.0
