Price,Location,Beds,Baths,Area,Price_Cleaned,Beds_Cleaned,Baths_Cleaned,Area_SqFt
1.5 Crore,"Royal Orchard, Multan Public School Road",3.0,4.0,5 Marla,15000000.0,3,4,1361.25
75 Lakh,"Zahra Villas, Bosan Road",5.0,6.0,5 Marla,,5,6,1361.25
1.7 Crore,"Buch Executive Villas, Multan",4.0,5.0,5 Marla,17000000.0,4,5,1361.25
1.7 Crore,"Buch Executive Villas, Multan",4.0,4.0,5 Marla,17000000.0,4,4,1361.25
2.1 Crore,"Buch Executive Villas, Multan",5.0,6.0,6 Marla,21000000.0,5,6,1633.5
11.5 Crore,"DHA Phase 6 - Block D, DHA Phase 6",5.0,6.0,1 Kanal,115000000.0,5,6,5445.0
16.65 Crore,"DHA Phase 6 - Block K, DHA Phase 6",5.0,6.0,1 Kanal,166500000.0,5,6,5445.0
11.5 Crore,"DHA Phase 7 - Block S, DHA Phase 7",5.0,6.0,1 Kanal,115000000.0,5,6,5445.0
19.5 Crore,"DHA Phase 6 - Block L, DHA Phase 6",6.0,6.0,1 Kanal,195000000.0,6,6,5445.0
21.5 Crore,"G-10/2, G-10",5.0,5.0,1.6 Kanal,215000000.0,5,5,8712.0
8.25 Crore,"DHA Phase 6, DHA Defence",6.0,7.0,1 Kanal,82500000.0,6,7,5445.0
6.8 Crore,"Royal Orchard, Multan Public School Road",7.0,6.0,1.1 Kanal,68000000.0,7,6,5989.500000000001
7.5 Crore,"DHA Phase 7 - Block X, DHA Phase 7",5.0,6.0,1 Kanal,75000000.0,5,6,5445.0
9.5 Crore,"DHA Phase 5 - Block G, DHA Phase 5",5.0,6.0,1 Kanal,95000000.0,5,6,5445.0
9.8 Crore,"Bahria Town Phase 4, Bahria Town Rawalpindi",6.0,6.0,1 Kanal,98000000.0,6,6,5445.0
8 Crore,"Garden Town - Aurangzaib Block, Garden Town",5.0,5.0,1 Kanal,80000000.0,5,5,5445.0
36 Crore,"Model Town, Lahore",4.0,4.0,4 Kanal,360000000.0,4,4,21780.0
